"id","name","unit","minValMale","maxValMale","normalRangeMale","minValFemale","maxValFemale","normalRangeFemale","minValBaby","maxValBaby","normalRangeBaby","normalRangeDefault","createdAt","updatedAt","workspaceId","code","criticalMaxValBaby","criticalMaxValDefault","criticalMaxValFemale","criticalMaxValMale","criticalMinValBaby","criticalMinValDefault","criticalMinValFemale","criticalMinValMale"
"52","Anti-Cardiolipin Antibody (IgM)","MPL U/mL",NULL,NULL,"< 12.5 MPL U/mL",NULL,NULL,"< 12.5 MPL U/mL",NULL,NULL,"< 12.5 MPL U/mL","< 12.5 MPL U/mL","2026-07-09 13:18:14.392","2026-07-09 13:18:14.392",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"53","Anti-Cyclic Citrullinated Peptide (Anti-CCP) Antibody","U/mL",NULL,NULL,"< 20.0 U/mL",NULL,NULL,"< 20.0 U/mL",NULL,NULL,"< 20.0 U/mL","< 20.0 U/mL (Negative)","2026-07-09 13:18:14.575","2026-07-09 13:18:14.575",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54","Cyclic Citrullinated Peptide (CCP) Antibody","U/mL","0","19.9","< 20.0 U/mL","0","19.9","< 20.0 U/mL","0","19.9","< 20.0 U/mL","< 20.0 U/mL","2026-07-09 13:18:14.763","2026-07-09 13:18:14.763",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"55","Anti-dsDNA","IU/mL",NULL,NULL,"Negative (< 20 IU/mL)",NULL,NULL,"Negative (< 20 IU/mL)",NULL,NULL,"Negative (< 20 IU/mL)","Negative (< 20 IU/mL)","2026-07-09 13:18:14.946","2026-07-09 13:18:14.946",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"56","Hepatitis B Core Antibody (HBcAb) IgG","Index",NULL,NULL,"Non-reactive",NULL,NULL,"Non-reactive",NULL,NULL,"Non-reactive","Non-reactive","2026-07-09 13:18:15.130","2026-07-09 13:18:15.130",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"57","Hepatitis B Core Antibody (IgG)",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:15.307","2026-07-09 13:18:15.307",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"58","Hepatitis B e Antigen (HBeAg)",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:15.484","2026-07-09 13:18:15.484",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"59","Hepatitis B e-Antigen (HBeAg)",,NULL,NULL,"Non-reactive",NULL,NULL,"Non-reactive",NULL,NULL,"Non-reactive","Non-reactive","2026-07-09 13:18:15.664","2026-07-09 13:18:15.664",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"60","Hepatitis C Virus Antibody (Anti-HCV)",,NULL,NULL,"Non-reactive",NULL,NULL,"Non-reactive",NULL,NULL,"Non-reactive","Non-reactive","2026-07-09 13:18:15.861","2026-07-09 13:18:15.861",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"61","Hepatitis A Virus (HAV) Antibody, IgM","Index",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:16.053","2026-07-09 13:18:16.053",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"62","Hepatitis A Virus Antibody (Total)","Index",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:16.242","2026-07-09 13:18:16.242",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"63","Hepatitis B Core Antibody (HBcAb), IgM","Index",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:16.426","2026-07-09 13:18:16.426",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"64","Hepatitis B Core IgM Antibody","Index",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:16.606","2026-07-09 13:18:16.606",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"65","Hepatitis B Core Antibody (Total)",,NULL,NULL,"Non-reactive",NULL,NULL,"Non-reactive",NULL,NULL,"Non-reactive","Non-reactive","2026-07-09 13:18:16.792","2026-07-09 13:18:16.792",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"66","Anti-Hepatitis B Core Antigen (Total)","Index/Ratio",NULL,NULL,"Non-reactive",NULL,NULL,"Non-reactive",NULL,NULL,"Non-reactive","Non-reactive","2026-07-09 13:18:16.980","2026-07-09 13:18:16.980",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"67","Hepatitis E Virus (HEV) IgM Antibody","Index",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:17.159","2026-07-09 13:18:17.159",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"68","Anti-Mullerian Hormone (AMH)","ng/mL",NULL,NULL,"1.3 - 14.8 ng/mL",NULL,NULL,"0.7 - 5.3 ng/mL (Reference range varies significantly by age)",NULL,NULL,"Not routinely established",,"2026-07-09 13:18:17.341","2026-07-09 13:18:17.341",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"69","Anti-Mullerian Hormone","ng/mL","0.7","19","0.7 - 19.0","0","12.6","0.0 - 12.6","0","50","0.0 - 50.0",,"2026-07-09 13:18:17.518","2026-07-09 13:18:17.518",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"70","Anti-Phospholipid Antibody (IgG)","GPL U/mL",NULL,NULL,"< 10 GPL U/mL",NULL,NULL,"< 10 GPL U/mL",NULL,NULL,"< 10 GPL U/mL","Negative: < 10 GPL U/mL; Low Positive: 10–40 GPL U/mL; Moderate/High Positive: > 40 GPL U/mL","2026-07-09 13:18:17.701","2026-07-09 13:18:17.701",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"71","Anti-Phospholipid Antibody (IgM)","MPL U/mL",NULL,NULL,"Negative: < 10.0 MPL, Equivocal: 10.0–20.0 MPL, Positive: > 20.0 MPL",NULL,NULL,"Negative: < 10.0 MPL, Equivocal: 10.0–20.0 MPL, Positive: > 20.0 MPL",NULL,NULL,"Negative: < 10.0 MPL, Equivocal: 10.0–20.0 MPL, Positive: > 20.0 MPL","Negative: < 10.0 MPL, Equivocal: 10.0–20.0 MPL, Positive: > 20.0 MPL","2026-07-09 13:18:17.887","2026-07-09 13:18:17.887",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"72","Antiphospholipid Antibody (IgM)","MPL U/mL",NULL,"10","Negative (< 10 MPL U/mL)",NULL,"10","Negative (< 10 MPL U/mL)",NULL,"10","Negative (< 10 MPL U/mL)","Negative (< 10 MPL U/mL)","2026-07-09 13:18:18.103","2026-07-09 13:18:18.103",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"73","Anti-Sm/RNP Antibody","Index",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:18.285","2026-07-09 13:18:18.285",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"74","Anti-Thyroglobulin Antibody","IU/mL",NULL,"4","<4.0 IU/mL",NULL,"4","<4.0 IU/mL",NULL,"4","<4.0 IU/mL","<4.0 IU/mL","2026-07-09 13:18:18.473","2026-07-09 13:18:18.473",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"75","Thyroid Peroxidase (TPO) Antibody","IU/mL","0","9","0 - 9","0","9","0 - 9","0","9","0 - 9","< 9.0 IU/mL","2026-07-09 13:18:18.658","2026-07-09 13:18:18.658",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"76","Anti-CCP High Sensitivity","U/mL","0","19","< 20.0 U/mL","0","19","< 20.0 U/mL",NULL,NULL,"Negative","< 20.0 U/mL","2026-07-09 13:18:18.839","2026-07-09 13:18:18.839",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"77","Apolipoprotein A1","mg/dL","80","160","80–160","90","180","90–180","50","150","50–150",,"2026-07-09 13:18:19.022","2026-07-09 13:18:19.022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"78","Apolipoprotein B","mg/dL","50","120","50–120","50","120","50–120","30","100","30–100",,"2026-07-09 13:18:19.198","2026-07-09 13:18:19.198",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"79","Activated Partial Thromboplastin Time (APTT)","seconds","25","35","25.0–35.0","25","35","25.0–35.0","25","45","25.0–45.0","25.0–35.0","2026-07-09 13:18:19.376","2026-07-09 13:18:19.376",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"80","Rheumatoid Factor (RF)","IU/mL",NULL,"20","< 20 IU/mL",NULL,"20","< 20 IU/mL",NULL,"20","< 20 IU/mL","< 20 IU/mL","2026-07-09 13:18:19.556","2026-07-09 13:18:19.556",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"81","Uric Acid","mg/dL","3.4","7","3.4 - 7.0 mg/dL","2.4","6","2.4 - 6.0 mg/dL","2","5.5","2.0 - 5.5 mg/dL",,"2026-07-09 13:18:19.739","2026-07-09 13:18:19.739",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"82","Erythrocyte Sedimentation Rate (ESR)","mm/hr","0","20","0 - 20 mm/hr","0","30","0 - 30 mm/hr","0","10","0 - 10 mm/hr",,"2026-07-09 13:18:19.924","2026-07-09 13:18:19.924",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"83","Appearance","-NA-",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Clear / Pale Yellow","2026-07-09 13:18:20.102","2026-07-09 13:18:20.102",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"84","Total Cell Count","cells/µL",NULL,NULL,,NULL,NULL,,NULL,NULL,,"< 500 cells/µL","2026-07-09 13:18:20.283","2026-07-09 13:18:20.283",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"85","Differential Count - Neutrophils","%",NULL,NULL,,NULL,NULL,,NULL,NULL,,"< 25%","2026-07-09 13:18:20.468","2026-07-09 13:18:20.468",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"86","Protein","g/dL",NULL,NULL,,NULL,NULL,,NULL,NULL,,"< 3.0 g/dL","2026-07-09 13:18:20.648","2026-07-09 13:18:20.648",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"87","Ascitic Fluid Appearance","-NA-",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Straw colored / Clear","2026-07-09 13:18:20.836","2026-07-09 13:18:20.836",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"88","Ascitic Fluid Total Cell Count","cells/µL","0","300","<300","0","300","<300","0","300","<300",,"2026-07-09 13:18:21.031","2026-07-09 13:18:21.031",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"89","Ascitic Fluid Protein","g/dL","0","3","<3","0","3","<3","0","3","<3",,"2026-07-09 13:18:21.218","2026-07-09 13:18:21.218",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"90","Ascitic Fluid Culture","-NA-",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:18:21.408","2026-07-09 13:18:21.408",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"91","Ascitic Fluid Adenosine Deaminase","U/L",NULL,"30","< 30 U/L",NULL,"30","< 30 U/L",NULL,"30","< 30 U/L","< 30 U/L","2026-07-09 13:18:21.595","2026-07-09 13:18:21.595",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"92","AFB Culture - Ascitic Fluid","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:18:21.784","2026-07-09 13:18:21.784",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"93","Ascitic Fluid Culture and Sensitivity",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"No growth / Sterile","2026-07-09 13:18:21.972","2026-07-09 13:18:21.972",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"94","Ascitic Fluid Gram Stain","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"No organisms seen","2026-07-09 13:18:22.155","2026-07-09 13:18:22.155",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
